ID;NOM;PRENOM;NUMERO_PASSEPORT;NE_LE;LIEU_NAISSANCE;ETAT_CIVIL;ADRESSE;TELEPHONE;NIF;PAYS_EMETTEUR;SOUMIS_LE;DELIVRE_LE;REMARQUES;DATE_EMISSION;DATE_EXPIRATION;SMS;TAILLE;RECU;PHOTO;PHOTO_CONTENT_TYPE;STATE;CIN;JHI_TYPE;SEXE;TYPE_SERVICE_ID;date_Creation;date_modification;created_By_id;modified_By_id
1;NZEUKENG KAMGANG;GILDAS;101;1990-02-04;BAFOUSSAM;null;EPC KOUOGOUO;691610190;111212545;HAITI;2016-06-03;2018-06-02;RAS;2018-06-07;2025-06-12;677978374;162;2018061601;;;PAYE;111254698;AFRICAIN;MASCULIN;1;2018-06-07;2018-06-09;3;5
2;TCHINDA NEMBOT;CABREL;101;1991-02-04;BAFOUSSAM;null;EPC KOUOGOUO;691610190;111212545;HAITI;2016-06-03;2018-06-02;RAS;2018-06-07;2025-06-12;677978374;162;2018061601;;;NOUVEAU;111254698;AFRICAIN;MASCULIN;2;2018-06-07;2018-06-09;3;5
3;GUEMKAM;BRICE;101;1992-02-04;BAFOUSSAM;null;EPC KOUOGOUO;691610190;111212545;HAITI;2016-06-03;2018-06-02;RAS;2018-06-07;2025-06-12;677978374;162;2018061601;;;PAYE;111254698;AFRICAIN;MASCULIN;3;2018-06-07;2018-06-09;3;5
4;SANDO;DYMAS;101;1993-02-04;BAFOUSSAM;null;EPC KOUOGOUO;691610190;111212545;HAITI;2016-06-03;2018-06-02;RAS;2018-06-07;2025-06-12;677978374;162;2018061601;;;NOUVEAU;111254698;AFRICAIN;MASCULIN;4;2018-06-07;2018-06-09;3;5
5;KAMDOUM KAMGANG;SAMUEL;101;1994-02-04;BAFOUSSAM;null;EPC KOUOGOUO;691610190;111212545;HAITI;2016-06-03;2018-06-02;RAS;2018-06-07;2025-06-12;677978374;162;2018061601;;;PAYE;111254698;AFRICAIN;MASCULIN;5;2018-06-07;2018-06-09;3;5
6;FOLONG KAMDOUM;SAMY PRO;101;1996-02-04;BAFOUSSAM;null;EPC KOUOGOUO;691610190;111212545;HAITI;2016-06-03;2018-06-02;RAS;2018-06-07;2025-06-12;677978374;162;2018061601;;;NOUVEAU;111254698;AFRICAIN;MASCULIN;1;2018-06-07;2018-06-09;3;5
7;NAOUSSI ;GERVAIS;101;1997-02-04;BAFOUSSAM;null;EPC KOUOGOUO;691610190;111212545;HAITI;2016-06-03;2018-06-02;RAS;2018-06-07;2025-06-12;677978374;162;2018061601;;;PAYE;111254698;AFRICAIN;MASCULIN;2;2018-06-07;2018-06-09;3;5
8;TOTO ;TINTIN;101;1998-02-04;BAFOUSSAM;null;EPC KOUOGOUO;691610190;111212545;HAITI;2016-06-03;2018-06-02;RAS;2018-06-07;2025-06-12;677978374;162;2018061601;;;NOUVEAU;111254698;AFRICAIN;MASCULIN;3;2018-06-07;2018-06-09;3;5
9;TAGNE ;MOISE;101;1999-02-04;BAFOUSSAM;null;EPC KOUOGOUO;691610190;111212545;HAITI;2016-06-03;2018-06-02;RAS;2018-06-07;2025-06-12;677978374;162;2018061601;;;NOUVEAU;111254698;AFRICAIN;MASCULIN;4;2018-06-07;2018-06-09;3;5
10;MEGNE ;FERGANIE;101;1990-02-04;BAFOUSSAM;null;EPC KOUOGOUO;691610190;111212545;HAITI;2016-06-03;2018-06-02;RAS;2018-06-07;2025-06-12;677978374;162;2018061601;;;NOUVEAU;111254698;AFRICAIN;MASCULIN;5;2018-06-07;2018-06-09;3;5
