ID;NOM;PRENOM;NATIONALITE;NUMERO_PASSEPORT;CEDULA;NUMERO_VISA;DATE_EMISSION;DATE_EXPIRATION;TAXES;ADRESSE;REMARQUES;STATE;PROFESSION;NOMBRE_DE_JOUR;PHOTO_DEMANDEUR_VISA;PHOTO_DEMANDEUR_VISA_CONTENT_TYPE;EMAIL;ADRESSE_DE_SEJOUR;NOM_EMPLOYEUR;ADRESSE_EMPLOYEUR;TELEPHONE_EMPLOYEUR;EMAIL_EMPLOYEUR;TYPE_SERVICE_ID;TYPE_ENTREE_ID;CATEGORIE_ID;date_Creation;date_modification;created_By_id;modified_By_id
1;NZEUKENG KAMGANG;GILDAS;GHANEEN;101;101;2018061401;2011-06-01;2021-06-01;250;EPC KOUOGOUO;RAS;NOUVEAU;ETUDIANT;250;;;briceguemkam@gmail.com;EEC;KAPTOUM;MONTREAL;+125456987;kaptoum@gmail.com;1;1;1;2017-06-07;2018-06-09;3;5
2;MEGNE MBE;FERGANIE;CAMEROUN;102;102;2018061402;2012-06-06;2022-06-06;4100;5e Rue Touristique;RAS;PAYE;BOTANISTE;112;;;sandobrice@gmail.com;MONACO;JERRY COOPER;GENEVE;+125456987;gary@gmail.com;2;2;2;2018-06-07;2018-06-09;3;5
3;TCHINDA NEMBOT;CABREL;CAMEROUN;102;102;2018061402;2012-06-06;2022-06-06;4100;5e Rue Touristique;RAS;NOUVEAU;BOTANISTE;112;;;sandobrice@gmail.com;MONACO;JERRY COOPER;GENEVE;+125456987;gary@gmail.com;1;2;2;2018-06-07;2018-06-09;3;5
4;GUEMKAM;BRICE;CAMEROUN;102;102;2018061402;2012-06-06;2022-06-06;4100;5e Rue Touristique;RAS;PAYE;BOTANISTE;112;;;sandobrice@gmail.com;MONACO;JERRY COOPER;GENEVE;+125456987;gary@gmail.com;2;2;2;2018-06-07;2018-06-09;3;5
5;SANDO;BRICE DYMAS;CAMEROUN;102;102;2018061402;2012-06-06;2022-06-06;4100;5e Rue Touristique;RAS;NOUVEAU;BOTANISTE;112;;;sandobrice@gmail.com;MONACO;JERRY COOPER;GENEVE;+125456987;gary@gmail.com;1;2;2;2018-06-07;2018-06-09;3;5
6;SANDO;DYMAS;CAMEROUN;102;102;2018061402;2012-06-06;2022-06-06;4100;5e Rue Touristique;RAS;NOUVEAU;BOTANISTE;112;;;sandobrice@gmail.com;MONACO;JERRY COOPER;GENEVE;+125456987;gary@gmail.com;1;2;2;2018-06-07;2018-06-09;3;5
7;TOYOTA;LE GRIS;ESPAGNE;102;102;2018061402;2012-06-06;2022-06-06;4100;5e Rue Touristique;RAS;PAYE;BOTANISTE;112;;;sandobrice@gmail.com;MONACO;JERRY COOPER;GENEVE;+125456987;gary@gmail.com;2;2;2;2018-06-07;2018-06-09;3;5
8;GANDALF;LE GRIS;MORDOR;102;102;2018061402;2012-06-06;2022-06-06;4100;5e Rue Touristique;RAS;NOUVEAU;BOTANISTE;112;;;sandobrice@gmail.com;MONACO;JERRY COOPER;GENEVE;+125456987;gary@gmail.com;1;2;2;2018-06-07;2018-06-09;3;5
9;SERGEI;LAZROFF;RUSSIE;102;102;2018061402;2012-06-06;2022-06-06;4100;5e Rue Touristique;RAS;PAYE;BOTANISTE;112;;;sandobrice@gmail.com;MONACO;JERRY COOPER;GENEVE;+125456987;gary@gmail.com;2;2;2;2018-06-07;2018-06-09;3;5
10;VLADIMIR;PATSCHINSKI;RUSSIE;102;102;2018061402;2012-06-06;2022-06-06;4100;5e Rue Touristique;RAS;NOUVEAU;BOTANISTE;112;;;sandobrice@gmail.com;MONACO;JERRY COOPER;GENEVE;+125456987;gary@gmail.com;1;2;2;2018-06-07;2018-06-09;3;5
